filename,length,Overlap_Score,Overlap_Score (Merged)
18__zuhause.wav.txt,210.750, 0.721, 0.767
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.679, 0.711
cd1__02__dear_prudence.wav.txt,236.360, 0.572, 0.572
cd1__03__glass_onion.wav.txt,138.020, 0.553, 0.558
cd1__04__obladi_oblada.wav.txt,188.900, 0.801, 0.804
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.846, 0.854
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.839, 0.842
cd1__09__martha_my_dear.wav.txt,148.720, 0.629, 0.644
cd1__10__im_so_tired.wav.txt,123.270, 0.829, 0.831
cd1__11__black_bird.wav.txt,138.280, 0.563, 0.598
cd1__12__piggies.wav.txt,124.240, 0.817, 0.820
cd1__13__rocky_raccoon.wav.txt,212.780, 0.789, 0.789
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.821, 0.821
cd1__16__i_will.wav.txt,106.030, 0.701, 0.713
cd1__17__julia.wav.txt,173.480, 0.627, 0.638
cd2__01__birthday.wav.txt,162.890, 0.625, 0.630
cd2__02__yer_blues.wav.txt,241.090, 0.398, 0.568
cd2__03__mother_natures_son.wav.txt,167.980, 0.769, 0.776
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.554, 0.584
cd2__05__sexy_sadie.wav.txt,195.390, 0.822, 0.822
cd2__06__helter_skelter.wav.txt,269.740, 0.574, 0.586
cd2__07__long_long_long.wav.txt,184.350, 0.713, 0.859
cd2__08__revolution_1.wav.txt,255.640, 0.886, 0.891
cd2__09__honey_pie.wav.txt,161.300, 0.740, 0.758
cd2__10__savoy_truffle.wav.txt,174.890, 0.666, 0.711
cd2__11__cry_baby_cry.wav.txt,181.860, 0.644, 0.736
cd2__13__good_night.wav.txt,191.650, 0.478, 0.478

Ave.,, 0.686, 0.714 

Weighted Ave.,, 0.682, 0.710 
