filename,length,Overlap_Score,Overlap_Score (Merged)
cd1__04__obladi_oblada.wav.txt,188.900, 0.714, 0.727
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.668, 0.724
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.624, 0.723
cd1__09__martha_my_dear.wav.txt,148.720, 0.633, 0.646
cd1__10__im_so_tired.wav.txt,123.270, 0.807, 0.855
cd1__11__black_bird.wav.txt,138.280, 0.638, 0.647
cd1__12__piggies.wav.txt,124.240, 0.804, 0.846
cd1__13__rocky_raccoon.wav.txt,212.780, 0.688, 0.779
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.664, 0.673
cd1__16__i_will.wav.txt,106.030, 0.618, 0.653
cd1__17__julia.wav.txt,173.480, 0.738, 0.751
cd2__01__birthday.wav.txt,162.890, 0.486, 0.518
cd2__02__yer_blues.wav.txt,241.090, 0.289, 0.380
cd2__03__mother_natures_son.wav.txt,167.980, 0.608, 0.624
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.490, 0.548
cd2__05__sexy_sadie.wav.txt,195.390, 0.770, 0.803
cd2__06__helter_skelter.wav.txt,269.740, 0.282, 0.337
cd2__07__long_long_long.wav.txt,184.350, 0.744, 0.821
cd2__08__revolution_1.wav.txt,255.640, 0.700, 0.746
cd2__09__honey_pie.wav.txt,161.300, 0.678, 0.711
cd2__10__savoy_truffle.wav.txt,174.890, 0.474, 0.527
cd2__11__cry_baby_cry.wav.txt,181.860, 0.589, 0.678
cd2__13__good_night.wav.txt,191.650, 0.457, 0.462

Ave.,, 0.572, 0.618 

Weighted Ave.,, 0.576, 0.625 
