filename,length,Overlap_Score,Overlap_Score (Merged)
07__maggie_mae.wav.txt,40.601, 0.727, 0.782
07__michelle.wav.txt,162.240, 0.440, 0.643
07__please_mister_postman.wav.txt,156.280, 0.595, 0.795
07__please_please_me.wav.txt,119.400, 0.640, 0.742
07__she_said_she_said.wav.txt,156.900, 0.540, 0.709
07__ticket_to_ride.wav.txt,192.320, 0.552, 0.770
07_dont_stop_me_now.wav.txt,211.730, 0.473, 0.672
08__act_naturally.wav.txt,153.050, 0.510, 0.832
08__any_time_at_all.wav.txt,133.210, 0.470, 0.748
08__because.wav.txt,165.520, 0.488, 0.635
08__blass.wav.txt,171.800, 0.475, 0.660
08__eight_days_a_week.wav.txt,161.210, 0.643, 0.787
08__good_day_sunshine.wav.txt,129.300, 0.643, 0.814
08__ive_got_a_feeling.wav.txt,217.930, 0.424, 0.558
08__love_me_do.wav.txt,138.660, 0.339, 0.534
08__roll_over_beethoven.wav.txt,167.120, 0.534, 0.698
08__strawberry_fields_forever.wav.txt,250.560, 0.570, 0.656
08__what_goes_on.wav.txt,170.390, 0.716, 0.858
08__within_you_without_you.wav.txt,304.980, 0.258, 0.325
08_save_me.wav.txt,228.600, 0.585, 0.704
09__and_your_bird_can_sing.wav.txt,121.570, 0.598, 0.799
09__girl.wav.txt,153.310, 0.553, 0.696
09__hold_me_tight.wav.txt,152.460, 0.595, 0.703
09__ill_cry_instead.wav.txt,107.670, 0.568, 0.815
09__its_only_love.wav.txt,118.640, 0.512, 0.674
09__mr_morgan.wav.txt,183.130, 0.546, 0.631
09__one_after_909.wav.txt,175.520, 0.625, 0.814
09__p._s._i_love_you.wav.txt,121.760, 0.677, 0.753
09__penny_lane.wav.txt,183.350, 0.614, 0.715
09__when_im_sixtyfour.wav.txt,157.620, 0.642, 0.778
09__words_of_love.wav.txt,133.020, 0.497, 0.736
09__you_never_give_me_your_money.wav.txt,242.320, 0.576, 0.703
09_crazy_little_thing_called_love.wav.txt,163.830, 0.388, 0.508
09_who_wants_to_live_forever.wav.txt,297.270, 0.557, 0.711
10__baby_its_you.wav.txt,152.210, 0.576, 0.834
10__baby_youre_a_rich_man.wav.txt,183.660, 0.548, 0.639
10__for_no_one.wav.txt,121.190, 0.563, 0.731
10__honey_dont.wav.txt,176.120, 0.768, 0.806
10__im_looking_through_you.wav.txt,147.570, 0.412, 0.580
10__liebesleid.wav.txt,266.230, 0.542, 0.694
10__sun_king.wav.txt,146.300, 0.476, 0.615
10__the_long_and_winding_road.wav.txt,217.860, 0.617, 0.713
10__things_we_said_today.wav.txt,158.710, 0.501, 0.722
10__you_like_me_too_much.wav.txt,158.660, 0.623, 0.761
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.579, 0.757
10_somebody_to_love.wav.txt,297.670, 0.506, 0.593
11__all_you_need_is_love.wav.txt,228.220, 0.497, 0.592
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.385, 0.523
11__doctor_robert.wav.txt,134.740, 0.681, 0.868
11__every_little_thing.wav.txt,119.820, 0.610, 0.805
11__for_you_blue.wav.txt,152.660, 0.610, 0.674
11__good_morning_good_morning.wav.txt,161.220, 0.436, 0.526
11__i_wanna_be_your_man.wav.txt,118.750, 0.584, 0.773
11__ich_kann_heute_nicht.wav.txt,138.170, 0.471, 0.642
11__in_my_life.wav.txt,147.860, 0.644, 0.785
11__mean_mr_mustard.wav.txt,66.212, 0.700, 0.816
11__tell_me_what_you_see.wav.txt,159.560, 0.482, 0.633
11__when_i_get_home.wav.txt,138.170, 0.498, 0.677
12__a_taste_of_honey.wav.txt,120.350, 0.553, 0.729
12__devil_in_her_heart.wav.txt,147.490, 0.679, 0.803
12__get_back.wav.txt,186.920, 0.485, 0.689
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.681, 0.816
12__i_want_to_tell_you.wav.txt,149.700, 0.614, 0.846
12__ive_just_seen_a_face.wav.txt,127.010, 0.587, 0.743
12__jakob_und_marie.wav.txt,186.110, 0.568, 0.789
12__polythene_pam.wav.txt,72.723, 0.423, 0.600
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.500, 0.680
12__wait.wav.txt,136.600, 0.474, 0.677
12__you_cant_do_that.wav.txt,157.430, 0.587, 0.725
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.478, 0.622
13__a_day_in_the_life.wav.txt,333.700, 0.437, 0.571
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.463, 0.636
13__if_i_needed_someone.wav.txt,143.490, 0.673, 0.822
13__ill_be_back.wav.txt,140.310, 0.631, 0.769
13__not_a_second_time.wav.txt,128.190, 0.434, 0.683
13__paparazzi.wav.txt,234.470, 0.504, 0.696
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.519, 0.628
13__theres_a_place.wav.txt,107.630, 0.554, 0.694
13__what_youre_doing.wav.txt,150.300, 0.543, 0.716
13__yesterday.wav.txt,127.210, 0.529, 0.633
13_play_the_game.wav.txt,213.310, 0.443, 0.586
14__dizzy_miss_lizzie.wav.txt,174.050, 0.765, 0.832
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.697, 0.828
14__golden_slumbers.wav.txt,91.566, 0.573, 0.819
14__money.wav.txt,167.340, 0.451, 0.707
14__run_for_your_life.wav.txt,138.550, 0.522, 0.789
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.550, 0.686
14__tomorrow_never_knows.wav.txt,177.120, 0.568, 0.755
14__twist_and_shout.wav.txt,152.000, 0.593, 0.640
14_hammer_to_fall.wav.txt,220.510, 0.415, 0.527
15__carry_that_weight.wav.txt,96.868, 0.763, 0.815
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.458, 0.683
15_friends_will_be_friends.wav.txt,248.890, 0.526, 0.685
15_seven_seas_of_rhye.wav.txt,170.470, 0.477, 0.629
16__the_end.wav.txt,139.780, 0.420, 0.477
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.266, 0.439
16_we_will_rock_you.wav.txt,122.770, 0.194, 0.208
17__duell.wav.txt,237.190, 0.418, 0.591
17__her_majesty.wav.txt,23.125, 0.375, 0.543
17_we_are_the_champions.wav.txt,181.400, 0.431, 0.623
18__zuhause.wav.txt,210.750, 0.415, 0.549
