filename,length,Overlap_Score,Overlap_Score (Merged)
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.321, 0.450
16_we_will_rock_you.wav.txt,122.770, 0.201, 0.201
17__duell.wav.txt,237.190, 0.428, 0.526
17__her_majesty.wav.txt,23.125, 0.478, 0.542
17_we_are_the_champions.wav.txt,181.400, 0.555, 0.690
18__zuhause.wav.txt,210.750, 0.652, 0.695
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.711, 0.721
cd1__02__dear_prudence.wav.txt,236.360, 0.567, 0.567
cd1__03__glass_onion.wav.txt,138.020, 0.451, 0.458
cd1__04__obladi_oblada.wav.txt,188.900, 0.853, 0.864
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.692, 0.718
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.694, 0.742
cd1__09__martha_my_dear.wav.txt,148.720, 0.728, 0.728
cd1__10__im_so_tired.wav.txt,123.270, 0.791, 0.799
cd1__11__black_bird.wav.txt,138.280, 0.640, 0.655
cd1__12__piggies.wav.txt,124.240, 0.858, 0.881
cd1__13__rocky_raccoon.wav.txt,212.780, 0.774, 0.826
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.821, 0.821
cd1__16__i_will.wav.txt,106.030, 0.598, 0.607
cd1__17__julia.wav.txt,173.480, 0.808, 0.817
cd2__01__birthday.wav.txt,162.890, 0.482, 0.489
cd2__02__yer_blues.wav.txt,241.090, 0.581, 0.686
cd2__03__mother_natures_son.wav.txt,167.980, 0.688, 0.702
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.625, 0.693
cd2__05__sexy_sadie.wav.txt,195.390, 0.856, 0.856
cd2__06__helter_skelter.wav.txt,269.740, 0.708, 0.731
cd2__07__long_long_long.wav.txt,184.350, 0.730, 0.853
cd2__08__revolution_1.wav.txt,255.640, 0.776, 0.781
cd2__09__honey_pie.wav.txt,161.300, 0.763, 0.789
cd2__10__savoy_truffle.wav.txt,174.890, 0.729, 0.758
cd2__11__cry_baby_cry.wav.txt,181.860, 0.696, 0.768
cd2__13__good_night.wav.txt,191.650, 0.666, 0.668

Ave.,, 0.704, 0.737 

Weighted Ave.,, 0.697, 0.731 
