filename,length,Overlap_Score,Overlap_Score (Merged)
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.615, 0.658
cd2__05__sexy_sadie.wav.txt,195.390, 0.927, 0.927
cd2__06__helter_skelter.wav.txt,269.740, 0.687, 0.717
cd2__07__long_long_long.wav.txt,184.350, 0.758, 0.857
cd2__08__revolution_1.wav.txt,255.640, 0.839, 0.853
cd2__09__honey_pie.wav.txt,161.300, 0.824, 0.837
cd2__10__savoy_truffle.wav.txt,174.890, 0.731, 0.759
cd2__11__cry_baby_cry.wav.txt,181.860, 0.707, 0.746
cd2__13__good_night.wav.txt,191.650, 0.581, 0.586

Ave.,, 0.717, 0.751 

Weighted Ave.,, 0.712, 0.748 
